"","x"
"(Intercept)",-3.09945816403446
"age0_20",-0.0765461988067978
"birth_munic",0.126391775024449
"birth_cant",0.212734002408588
"birth_CH",0.182367390253295
"male",-0.0591173374737584
"resid_6_10y",0.0250808124102139
"hh_1",0.327878414981377
"hh_2",0.188176226342057
"hh_3_5",0.245320259749398
"PT_time_medium",-0.100569078518367
"PT_time_big",-0.159470459234363
"train_stops_per_pop",0.0434429436900279
"bus_stat_per_1000",0.114269888450907
"other_stat_per_1000",0.0233278007087052
"comb_car_1000",-0.0899609980495038
"el_car_1000",0.0409930062544621
"languagefr",-0.302938773746693
"languageit",-0.971124210370979
"languagerm",-0.37030486400147
"PT_fact_big",-0.164780634581389
"PT_fact_big:PT_fact_medium",0.0297493833523963
"PT_time_medium:PT_time_big",0.0449159143102755
