"","GA_share","HTA_share","FNT_share"
"X.Intercept.",-3.09945816403446,-0.768875641589751,-3.48474707796983
"age0_20",-0.0765461988067978,-0.0788239857069066,NA
"birth_munic",0.126391775024449,0.0199527749512347,-0.214817211063
"birth_cant",0.212734002408588,0.0244911875178012,-0.168764147535492
"birth_CH",0.182367390253295,NA,-0.291670509014071
"male",-0.0591173374737584,-0.0487700420835953,-0.053363746195044
"resid_6_10y",0.0250808124102139,NA,NA
"hh_1",0.327878414981377,0.464047915655232,-0.0805471920594172
"hh_2",0.188176226342057,0.327810168600653,NA
"hh_3_5",0.245320259749398,0.408575341638498,NA
"PT_time_medium",-0.100569078518367,-0.0997479254354536,-0.139599101791002
"PT_time_big",-0.159470459234363,NA,-0.303468689429664
"train_stops_per_pop",0.0434429436900279,NA,NA
"bus_stat_per_1000",0.114269888450907,0.0335975722389862,NA
"other_stat_per_1000",0.0233278007087052,NA,NA
"comb_car_1000",-0.0899609980495038,-0.105916272773724,-0.0710308224795112
"el_car_1000",0.0409930062544621,0.0996588563138534,0.0959153678883399
"languagefr",-0.302938773746693,-0.544974037111428,0.260900289047821
"languageit",-0.971124210370979,-1.59251366816424,1.38117525732748
"languagerm",-0.37030486400147,-0.227307739603939,-2.18770895701096
"PT_fact_big",-0.164780634581389,-0.0908351229334759,NA
"PT_fact_big.PT_fact_medium",0.0297493833523963,NA,NA
"PT_time_medium.PT_time_big",0.0449159143102755,0.0191713259575536,0.0534364992521398
"single_share",NA,0.16110719463434,0.130256855881648
"married_share",NA,0.0827509915996749,-0.103897423757074
"age20_40",NA,-0.127006812271396,-0.189210507993758
"other_stops_per_pop",NA,0.0249430856211328,NA
"train_stat_per_1000",NA,0.0259845008893257,NA
"PT_fact_medium",NA,0.0440949574563666,0.121513167803778
"PT_fact_big.PT_time_big",NA,-0.0433218028670057,NA
"bus_stops_per_pop",NA,NA,0.130461901331536
"PT_time_medium.PT_fact_medium",NA,NA,0.11802208569548
